Date, Temperature,Relat_Humid,Wind_Speed ,Solar Radi,Surf_Out_ Temp
2017-01-02,6.175079027,71,1.279652564,0,5.188435995
2017-01-02,6.241745693,69.33333333,1.165212091,0,5.247829351
2017-01-02,6.30841236,67.66666667,1.050771618,0,5.28019285
2017-01-02,6.375079027,66,0.936331144,0,5.315608045
2017-01-02,6.30841236,66.83333333,1.102790015,0,5.265255892
2017-01-02,6.241745693,67.66666667,1.269248885,0,5.227282322
2017-01-02,6.175079027,68.5,1.435707755,0,5.186165175
2017-01-02,6.10841236,69.33333333,1.602166625,0,5.141228185
2017-01-02,6.041745693,70.16666667,1.768625495,0,5.094255815
2017-01-02,5.975079027,71,1.935084365,0,5.047312733
2017-01-02,5.475079027,72.66666667,1.664588701,0,4.499701061
2017-01-02,4.975079027,74.33333333,1.394093037,0,3.985476795
2017-01-02,4.475079027,76,1.123597373,0,3.268899986
2017-01-02,3.975079027,77.66666667,0.853101709,0,2.780525527
2017-01-02,3.475079027,79.33333333,0.582606045,0,2.25835903
2017-01-02,2.975079027,81,0.312110381,0,1.728792034
2017-01-02,3.325079027,81,0.312110381,0,2.151698654
2017-01-02,3.675079027,81,0.312110381,0,2.497132137
2017-01-02,4.025079027,81,0.312110381,0,2.844050932
2017-01-02,4.375079027,81,0.312110381,0,3.190954053
2017-01-02,4.725079027,81,0.312110381,0,3.650153894
2017-01-02,5.075079027,81,0.312110381,0,3.990275927
2017-01-02,4.80841236,82.16666667,0.34332142,0,3.697739367
2017-01-02,4.541745693,83.33333333,0.374532458,0,3.328045202
2017-01-02,4.275079027,84.5,0.405743496,0,3.090414157
2017-01-02,4.00841236,85.66666667,0.436954534,0,2.838945079
2017-01-02,3.741745693,86.83333333,0.468165572,0,2.588540528
2017-01-02,3.475079027,88,0.49937661,0,2.337731888
2017-01-02,3.225079027,88.83333333,0.520183969,0,2.09417019
2017-01-02,2.975079027,89.66666667,0.540991328,0,1.862107969
2017-01-02,2.725079027,90.5,0.561798687,0,1.618931474
2017-01-02,2.475079027,91.33333333,0.582606045,0,1.376908788
2017-01-02,2.225079027,92.16666667,0.603413404,0,1.136742072
2017-01-02,1.975079027,93,0.624220763,0,0.894848702
2017-01-02,2.375079027,91.83333333,0.572202366,0,1.326836619
2017-01-02,2.775079027,90.66666667,0.520183969,0,1.711158142
